id_institucion,id_comuna,nombre_institucion,nivel,afiliacion_institucion
10354,105,Liceo Carmela Carvajal De Prat,Basico/Medio,Publica
10355,105,Liceo Jose Victorino Lastarria,Basico/Medio,Publica
10356,105,Liceo B 42 Tajamar,Basico/Medio,Publica
10357,105,Escuela Basica El Vergel,Basico/Medio,Publica
10358,105,Escuela De Providencia,Basico/Medio,Publica
10359,105,Escuela Abelardo Iturriaga Jamett,Basico/Medio,Publica
10360,105,C.Diagnost.Y Trat.Integral,Basico/Medio,Privada
10361,105,Colegio Poliv. Prof. Guillermo Gonzalez Hein,Basico/Medio,Publica
10362,105,Colegio Santisima Trinidad,Basico/Medio,Privada
10363,105,Colegio Particular Regina Pacis,Basico/Medio,Privada
10364,105,Escuela Y Liceo Paulina Von Mallinckrodt,Basico/Medio,Publica
10365,105,Colegio Compania De Maria-Seminario,Basico/Medio,Privada
10366,105,Colegio Argentino Del Sagrado Corazon,Basico/Medio,Privada
10367,105,Colegio Pedro De Valdivia,Basico/Medio,Privada
10368,105,Colegio Maria Inmaculada,Basico/Medio,Privada
10369,105,Colegio Saint Gabriel´S School Anexo,Basico/Medio,Privada
10370,105,Colegio Latinoamericano De Integracion,Basico/Medio,Privada
10371,105,Colegio Queen Victory College,Basico/Medio,Privada
10372,105,Colegio Superior Cambridge,Basico/Medio,Privada
10373,105,Escuela Especial Leopoldo Donnenbaum,Basico/Medio,Privada
10374,105,Colegio Carmen Mc Phee,Basico/Medio,Privada
10375,105,Colegio Carlomagno,Basico/Medio,Privada
10376,105,Colegio Saint Gabriel´S School Local Sede,Basico/Medio,Privada
10377,105,Escuela De Parvulos N°1198 House Garden,Basico/Medio,Privada
10378,105,Colegio Saint Gabriel´S School Anexo,Basico/Medio,Privada
10379,105,Centro Educacional Omega,Basico/Medio,Privada
10380,105,Colegio Campvs College,Basico/Medio,Privada
10381,105,Colegio De Los Sagrados Corazones Providencia,Basico/Medio,Privada
10382,105,Colegio El Patrocinio De San Jose,Basico/Medio,Privada
10383,105,Colegio John John,Basico/Medio,Privada
10384,105,Colegio Trewhela´S English School,Basico/Medio,Privada
10385,105,Colegio Saint Gabriel´S School Anexo,Basico/Medio,Privada
10386,105,Escuela De Parvulos N°730 Jardin Infantil Mampato,Basico/Medio,Privada
10387,105,Colegio Mariano,Basico/Medio,Privada
10388,105,Colegio Granville`S College,Basico/Medio,Privada
10389,105,Colegio Aleman Sankt Thomas Morus,Basico/Medio,Privada
10390,105,Colegio Pasteur,Basico/Medio,Privada
10391,105,Colegio San Ignacio El Bosque,Basico/Medio,Privada
10392,105,Wexford College N 2,Basico/Medio,Privada
10393,105,Colegio Cambridge College,Basico/Medio,Privada
10394,105,Escuela Especial Instituto Bertolo,Basico/Medio,Privada
10395,105,Colegio The English Institute,Basico/Medio,Privada
10396,105,Colegio Universitario Ingles,Basico/Medio,Privada
10397,105,Colegio Andalican,Basico/Medio,Privada
10398,105,Colegio The Kent School,Basico/Medio,Privada
10399,105,Escuela Basica Railen,Basico/Medio,Privada
10400,105,Colegio Fayol English School,Basico/Medio,Privada
10401,105,Colegio Barret Browning School,Basico/Medio,Privada
10402,105,Escuela Basica John Dewey College,Basico/Medio,Privada
10403,105,Colegio Pedro De Valdivia,Basico/Medio,Privada
